0alias	0alias is deprecated. use '0install add' instead.0alias is deprecated. use '0install add' instead. 
show_cache-stats	the show:cache-stats command displays a summary of cache statistics, including ram cache, lookups, reads, writes, updates, and removes detail. the show:cache- stats command takes no options.show:cache- stats command takes no options. 
show_cluster	the show:cluster command displays the ports used for cluster communication. the show:cluster command takes no options.the show:cluster command displays the ports used for cluster communication. the show:cluster command takes no options. 
show_dns-resolver	the show:dns-resolver command displays the dns resolver configuration information, including local domain expansion configuration (see example below). the show:dns-resolver command takes no options.show:dns-resolver command takes no options. 
show_dns-stats	the show:dns-stats command displays dns statistics, including dns lookup detail. the show:dns-stats command takes no options.the show:dns-stats command displays dns statistics, including dns lookup detail. the show:dns-stats command takes no options. 
show_hostdb	the show:hostdb command displays the host database configuration information, including various timeout values and number of retries (see example below). the show:hostdb command takes no options.the show:hostdb command takes no options. 
show_hostdb-stats	the show:hostdb-stats command displays host database statistics, including hit rate and dns lookup detail. the show:hostdb-stats command takes no options.options. 
show_http	execute the show:http command to view http configuration information, such as timeouts values, header insertions, and port specifications. the show:http command takes no options.command takes no options. 
show_http-stats	the show:http-stats command displays http protocol statistics, including document and header size and connections values. the show:http-stats command takes no options.no options. 
show_http-trans-stats	the show:http-trans-stats command displays http transaction statistics, including hit, miss, and abort details. the show:http-trans-stats command takes no options.options. 
show_icp	the show:icp command displays icp configuration settings, including connectivity and timeout and expiration values. the show:icp command takes no options.options. 
show_icp-stats	the show:icp-stats command displays icp statistics, including query, hit, and miss values. the show:icp-stats command takes no options.the show:icp-stats command displays icp statistics, including query, hit, and miss values. the show:icp-stats command takes no options. 
show_logging	the show:logging command displays logging configuration information, including collation, management, format, and rolling configuration (see example below). the show:logging command takes no options.the show:logging command takes no options. 
show_logging-stats	the show:logging-stats command displays logging statistics, including storage, events logged, and events skipped. the show:logging-stats command takes no options.options. 
show_network	the show:network command displays the values for basic network parameters. the show:network command takes no options.the show:network command displays the values for basic network parameters. the show:network command takes no options. 
show_parent	the show:parent command displays parent configuration details, specifying whether parent caching is enabled and identifying the parent cache, if appropriate. the show:parent command takes an option called rules and returns additional details.appropriate. the show:parent command takes an option called rules and returns additional details. 
show_port-tunnels	execute the show:port-tunnels command to see the tunneling ports. the show:port- tunnels command takes no options.execute the show:port-tunnels command to see the tunneling ports. the show:port- tunnels command takes no options. 
show_proxy	execute the show:proxy command to see the name of the proxy. the show:proxy command takes no options.execute the show:proxy command to see the name of the proxy. the show:proxy command takes no options. 
show_proxy-stats	the show:proxy-stats command displays a summary of global proxy statistics, including hit rate, bandwidth saving, open connections, and throughput. the show:proxy-stats command takes no options.show:proxy-stats command takes no options. 
show_remap	the show:remap command displays logging configuration information, including collation, management, format, and rolling configuration (see example below). the show:remap command takes no options.the show:remap command takes no options. 
show_scheduled-update	with scheduled update, the proxy loads specific objects into the cache at scheduled times. execute the show:scheduled-update command to view basic object-update information, which includes whether scheduled update is enabled, as well as error retry and concurrent update values.object-update information, which includes whether scheduled update is enabled, as well as error retry and concurrent update values. 
show_security	the show:security command displays the web interface this command takes no options.the show:security command displays the web interface this command takes no options. 
show_socks	execute the show:socks command to view basic socks configuration information, which include whether socks is enabled, as well as default servers, version, and port values.and port values. 
show_ssl	the show:ssl command displays ssl port configuration information. the show:ssl command takes no options.the show:ssl command displays ssl port configuration information. the show:ssl command takes no options. 
show_status	if you want confirmation that the proxy is running, use the show:status command. the show:status command has no arguments.if you want confirmation that the proxy is running, use the show:status command. the show:status command has no arguments. 
show_version	the show:version command displays traffic server and traffic manager version numbers. the show:version command takes no options.the show:version command displays traffic server and traffic manager version numbers. the show:version command takes no options. 
show_virtual-ip	the show:virtual-ip command displays the virtual ip addresses configured for your system. the show:virtual-ip command takes no options.the show:virtual-ip command displays the virtual ip addresses configured for your system. the show:virtual-ip command takes no options. 
showfont	showfont displays data about a font that matches the given pattern. the information shown includes font information, font properties, character metrics, and character bitmaps. the wildcard character "*" can be used to match any sequence of characters (including none) in the font name, and "?" can be used to match any single character. the "*" and "?" characters must be quoted to prevent them from being expanded by the shell. if no pattern is given, "*" is assumed.character. the "*"
showhex	the showhex program shows the contents of a file hexadecimally.the showhex program shows the contents of a file hexadecimally. 
showkey	showkey prints to standard output either the scan codes or the keycode or the 'ascii' code of each key pressed. in the first two modes the program runs until 10 seconds have elapsed since the last key press or release event, or until it receives a suitable signal, like sigterm, from another process. in 'ascii' mode the program terminates when the user types ^d. when in scancode dump mode, showkey prints in hexadecimal format each byte received from the keyboard
showrgb	the showrgb program reads an rgb color-name database from a text file and converts it back to source form, printing the result to standard output. the default database is the one that x was built with, and may be overridden on the command line. specify the database name without the .txt, .pag or .dir suffix.the database name without the .txt, .pag or .dir suffix. 
showriff	showriff displays the structure of riff files. common media files which use the riff format are wave-files and avi-movies.format are wave-files and avi-movies. 
showtable	showtable reads an input data stream and displays it in a nicely formatted listing, with exact formatting depending upon the options. the input stream, file or "stdin" by default should consist of data separated by tabs or the defined separator character (see -d). the actual output formatting is peformed by the showtable module.the actual output formatting is peformed by the showtable module. 
shred	overwrite the specified file(s) repeatedly, in order to make it harder for even very expensive hardware probing to recover the data.overwrite the specified file(s) repeatedly, in order to make it harder for even very expensive hardware probing to recover the data. 
shrinkfile	the shrinkfile program shrinks files to a given size if the size is larger than maxsize, preserving the data at the end of the file. truncation is performed on line boundaries, where a line is a series of bytes ending with a newline, ''\n''. there is no line length restriction and files may contain any binary data. temporary files are created in the <pathtmp in inn.conf> directory. the ''tmpdir'' environment variable may be used to specify a different directory. a
shuf	write a random permutation of the input lines to standard output.write a random permutation of the input lines to standard output. 
shutterbug	shutterbug is a simple screen snapshot application inspired by sgi snapshot. the user interface of shutterbug consists of a single, unobstrusive icon. all functions in shutterbug are invoked by right-clicking on this icon, which will bring up a popup menu. a red rectangle identifies the area of the screen being captured.bring up a popup menu. a red rectangle identifies the area of the screen being captured. 
siege2csv	siege2csv.pl is part of the siege package. it converts the output of bombardment(1) to csv for easy use with spreadsheets.to csv for easy use with spreadsheets. 
sierpinski	the sierpinski program draws sierpinski triangle fractals.the sierpinski program draws sierpinski triangle fractals. 
sierpinski3d	this draws the three-dimensional variant of the recursive sierpinski triangle fractal, using gl.gl. 
sieve-dump	the sieve-dump command is part of the pigeonhole project (pigeonhole(7)), which adds sieve (rfc 5228) support to the dovecot secure imap and pop3 server (dovecot(1)). using the sieve-dump command, sieve binaries, which are produced for instance by sievec(1), can be transformed into a human-readable textual representation. this can provide valuable insight in how the sieve script is executed. this is also particularly useful to view corrupt binaries that can result from bugs in the sieve implementation. this tool is intended
sieve-test	the sieve-test command is part of the pigeonhole project (pigeonhole(7)), which adds sieve (rfc 5228) support to the dovecot secure imap and pop3 server (dovecot(1)). using the sieve-test command, the execution of sieve scripts can be tested. this evaluates the script for the provided message, yielding a set of sieve actions. unless the -e option is specified, it does not actually execute these actions, meaning that it does not store or forward the message anywere. in stead, it prints a
sievec	the sieve-dump command is part of the pigeonhole project (pigeonhole(7)), which adds sieve (rfc 5228) support to the dovecot secure imap and pop3 server (dovecot(1)). using the sievec command, sieve scripts can be compiled into a binary representation. the resulting binary can be used directly to process e-mail messages during the delivery process. the delivery of mail messages and - by means of the lda sieve plugin - also the execution of sieve scripts is performed by dovecotqs local delivery
sieved	the sieve-dump command is part of the pigeonhole project (pigeonhole(7)), which adds sieve (rfc 5228) support to the dovecot secure imap and pop3 server (dovecot(1)). using the sieve-dump command, sieve binaries, which are produced for instance by sievec(1), can be transformed into a human-readable textual representation. this can provide valuable insight in how the sieve script is executed. this is also particularly useful to view corrupt binaries that can result from bugs in the sieve implementation. this tool is intended
sieveshell	sieveshell allows users to manipulate their scripts on a remote server. it works via managesieve , a work in progress. the following commands are recognized:the following commands are recognized: 
signcode	digitally sign an pe executable (clr assembly, win32 exe or dll) using an x.509 certificate and it's associated private key. the signature is compatible with authenticode(r) and can be validated with chktrust (either on windows or on any platform supported by mono).supported by mono). 
signset-editor	signset-editor provides the capability for easy management of signing sets in a gui . a signing set contains zero or more names of key keyrecs. these sets are used by other dnssec-tools utilities for signing zones. the signing sets found in the given keyrec file are displayed in a new window. new signing sets may be created and existing signing sets may be modified or deleted from signset-editor. signset-editor has two display modes. the signing set display shows the names
sigtool	sigtool can be used to generate md5 checksums, convert data into hexadecimal format, list virus signatures and build/unpack/test/verify cvd databases and update scripts.update scripts. 
sigul	connects to a sigul server through a sigul bridge to perform command.connects to a sigul server through a sigul bridge to perform command. 
sigul_setup_client	sets up a nss database at ~/.sigul, which is used by the sigul command in its default configuration, using certificates used for fedora build system access. the fedora certificates must already be present in their usual locations. the command interactively prompts for the necessary passwords.the command interactively prompts for the necessary passwords. 
sim2trad	sim2trad converts clipboard's data from simplified chinese to traditional chinese. trad2sim converts clipboard's data from traditional chinese to simplified chinese.trad2sim converts clipboard's data from traditional chinese to simplified chinese. 
simcontr	simcontr creates an unsigned char one band grey scale image of sizes xsize by ysize. the created pattern consists of two neighbouring squares one dark (left square) and one light (right square). the left one containes a smaller light square and the right one containes a darker square.one containes a darker square. 
simcrs	simcrs is a small program showing how to use the simcrs library.simcrs is a small program showing how to use the simcrs library. 
simcrs-config	simcrs-config is a tool that is used by configure to determine the compiler and linker flags that should be used to compile and link programs that use simcrs. it is also used internally by the .m4 macros, that are included with simcrs, for gnu autoconf.use simcrs. it is also used internally by the .m4 macros, that are included with simcrs, for gnu autoconf. 
simfqt	simfqt is a small program showing how to use the simfqt library.simfqt is a small program showing how to use the simfqt library. 
simfqt-config	simfqt-config is a tool that is used by configure to determine the compiler and linker flags that should be used to compile and link programs that use simfqt. it is also used internally by the .m4 macros, that are included with simfqt, for gnu autoconf.use simfqt. it is also used internally by the .m4 macros, that are included with simfqt, for gnu autoconf. 
simfqt_parsefarerules	simfqt is a small program showing how to use the simfqt library.simfqt is a small program showing how to use the simfqt library. 
simpleftp	simpleftp is a perl script script that provides basic support for fetching files with ftp in a batch oriented fashion. it takes one or more ftp urls on the command line. the file(s) will be retrieved from the remote server and placed in the current directory with the same basename as on the remote; e.g., "ftp://ftp.isc.org/pub/usenet/config/active.gz" is stored as active.gz in the current directory.directory. 
sines	sines creates an one band unsigned char image of the a sine waveform in two dimensions. the sizes of the created image are xsize by ysize. the number of horizontal and vertical spatial frequencies are determined by the variables horfreq and verfreq respectively. squares creates an one band unsigned cahr image by thresholding a sine waveform.squares creates an one band unsigned cahr image by thresholding a sine waveform. 
single2bin	megatron is used to transform files from binhex, macbinary, applesingle, or netatalk style appledouble formats into macbinary or netatalk style appledouble formats. the netatalk style appledouble format is the file format used by afpd, the netatalk apple filing protocol (appleshare) server. binhex, macbinary, and applesingle are commonly used formats for transferring macintosh files between machines via email or file transfer protocols. megatron uses its name to determine what type of tranformation is being asked of it. if megatron is called
sipsak	sipsak is a sip stress and diagnostics utility. it sends sip requests to the server within the sip-uri and examines received responses. it runs in one of the following modes:within the sip-uri and examines received responses. it runs in one of the following modes: 
sirtopnm	this program is part of netpbm(1). sirtopnm reads a solitaire image recorder file as input and produces a pnm image as output. the type of the output file depends on the input file - if it's an mgi type 17 file, sirtopnm generates a pgm file. if it's an mgi type 11 file, sirtopnm generates ppm. the program tells you which type it is writing.it is writing. 
sitecopy	sitecopy is for copying locally stored web sites to remote web servers. a single command will upload files to the server which have changed locally, and delete files from the server which have been removed locally, to keep the remote site synchronized with the local site. the aim is to remove the hassle of uploading and deleting individual files using an ftp client. sitecopy will also optionally try to spot files you move locally, and move them remotely. ftp, webdav
sitepods	this program shows the paths to module pods that are in the site_perl directories.this program shows the paths to module pods that are in the site_perl directories. 
sivtest	sivtest is a utility that allows you to authenticate to a managesieve server and interactively issue commands to it. once authenticated you may issue any managesieve command by simply typing it in. it is capable of multiple sasl authentication mechanisms and handles encryption layers transparently. this utility is often used for testing the operation of a timsieved server. also those developing managesieve clients find it useful.developing managesieve clients find it useful. 
size	the gnu size utility lists the section sizes---and the total size---for each of the object or archive files objfile in its argument list. by default, one line of output is generated for each object file or each module in an archive. objfile... are the object files to be examined. if none are specified, the file "a.out" will be used.objfile... are the object files to be examined. if none are specified, the file "a.out" will be used. 
skill	these tools are probably obsolete and unportable. the command syntax is poorly defined. consider using the killall, pkill, and pgrep commands instead. the default signal for skill is term. use -l or -l to list available signals. particularly useful signals include hup, int, kill, stop, cont, and 0. alternate signals may be specified in three ways: -9 -sigkill -kill. the default priority for snice is +4. (snice +4 ...) priority numbers range from +20 (slowest) to -20 (fastest). negative priority
skillet	this tool is used to instruct the skiller plugin remotely from the console. in a sense it is a very basic version of the skillgui. it allows to give a skill string on the command line or type in a skill string, which is then ordered for execution by the skiller. all arguments on the command line are merged into one skill string, it is therefore not possible to execute multiple skill strings at once. this may change in the
skillgui	this gui application allows for monitoring the skiller and luaagent plugins, and instructig the skiller plugin. it reads data from the blackboard and uses graphviz to visualize the finite state machines graphs of active skills.graphviz to visualize the finite state machines graphs of active skills. 
skillgui_batch_render	this tool reads all graph files from a directory (recorded using the skillgui) and converts them to graph images of the specified format. it can optionally add a white background and scale the graphics.add a white background and scale the graphics. 
skipfish	skipfish is an active web application security reconnaissance tool. it prepares an interactive sitemap for the targeted site by carrying out a recursive crawl and dictionary-based probes. the resulting map is then annotated with the output from a number of active (but hopefully non-disruptive) security checks. the final report generated by the tool is meant to serve as a foundation for professional web application security assessments.assessments. 
skkinput	skkinput is japanese input method on x window system, using kinput protocol/kinput2 protocol/ximp protocol/x input method(x11r6 standard). skkinput converts kana to kanji communicating skkserv, which is in skk package, using bsd socket. when skkserv is not available, it can works by using only local dictionary. however, it does not support a features of waking up skkserv, which original skk have. for more information, please read japanese version of skkinput manpages.for more information, please read japanese version of skkinput manpages. 
sky2xy	sky2xy (pronounced sky-to-x-y) is a utility for getting the image coordinates of a set of world coordinates in a fits or iraf image. world coordinate system (wcs) information in the image header describes, in a standard way, the relationship between sky coordinates and image pixels. this information is used by the program to transform image right ascension and declination sky coordinate pairs to image coordinate (x,y) pairs. the program prints the coordinates at the same system as is given in
skycoor	skycoor converts coordinates between the j2000, b1950, and galactic coordinate systems, rounding to a specified number of decimal places and printing in degrees or hh:mm:ss.sss dd:mm:ss.sss. input coordinates may also be in either format, and the system (j2000, b1950, or galactic) may be in upper or lower case. no spaces are allowed within the individual coordinates(j2000, b1950, or galactic) may be in upper or lower case. no spaces are allowed within the individual coordinates 
slabtop	slabtop(1) displays detailed kernel slab cache information in real time. it displays a listing of the top caches sorted by one of the listed sort criteria. it also displays a statistics header filled with slab layer information.displays a listing of the top caches sorted by one of the listed sort criteria. it also displays a statistics header filled with slab layer information. 
sldtoppm	this program is part of netpbm(1). sldtoppm reads an autocad® slide file and outputs a ppm image. if you don't specify slidefile, sldtoppm reads input from standard input. sldtoppm uses the ppmdraw library to convert the vector and polygon information in the slide file to a raster; see the file ppmdraw.h for details on this package.ppmdraw.h for details on this package. 
sleep	pause for number seconds. suffix may be 's' for seconds (the default), 'm' for minutes, 'h' for hours or 'd' for days. unlike most implementations that require number be an integer, here number may be an arbitrary floating point number. given two or more arguments, pause for the amount of time specified by the sum of their values.sum of their values. 
sli	sli is a command line interface to svn::log::index. it supports adding revisions to an index, and then querying that index for revisions that match the query. each index remembers the url of the subversion repository that it is indexing and the revision number that was last successfully indexed. the command line follows the subversion/svk model. there may be some global options, followed by a command name. the command may then require a number of other options to be specified.other options
sliceprint	xxxxxx 
slidescreen	the slidescreen program takes an image, divides it into a grid, deletes a random square of that grid, and then randomly slides one of the neighbors of this "hole" into the hole (and repeat.) the image that it manipulates will be grabbed from the portion of the screen underlying the window, or from the system's video input, or from a random file on disk, as indicated by the grabdesktopimages, grabvideoframes, and chooserandomimages options in the ~/.xscreensaver file; see xscreensaver-demo(1) for
slip	the slip program does lots of blits and chews up an image. the image that it manipulates will be grabbed from the portion of the screen underlying the window, or from the system's video input, or from a random file on disk, as indicated by the grabdesktopimages, grabvideoframes, and chooserandomimages options in the ~/.xscreensaver file; see xscreensaver-demo(1) for more details.xscreensaver-demo(1) for more details. 
slocate	secure locate provides a secure way to index and quickly search for files on your system. it uses incremental encoding just like gnu locate to compress its database to make searching faster, but it will also store file permissions and ownership so that users will not see files they do not have access to. this manual page documents the gnu version of slocate. slocate enables system users to search entire filesystems without displaying unauthorized files.slocate. slocate enables system users to
sloccount	sloccount counts the physical source lines of code (sloc) contained in descendants of the specified set of directories. it automatically determines which files are source code files, and it automatically determines the computer language used in each file. by default it summarizes the sloc results and presents various estimates (such as effort and cost to develop), but its output can be controlled by various options. if you give sloccount a list of two or more directories, the counts will be
slogin	ssh (ssh client) is a program for logging into a remote machine and for executing commands on a remote machine. it is intended to replace rlogin and rsh, and provide secure encrypted communications between two untrusted hosts over an insecure network. x11 connections and arbitrary tcp ports can also be forwarded over the secure channel. ssh connects and logs into the specified hostname (with optional user name). the user must prove his/her identity to the remote machine using one of
slowhttptest	the slowhttptest implements most common low-bandwidth application layer dos attacks and produces csv and html files with test statistics. currently supported attacks are: • slowloris • slow http post • apache range header • slow read• slow read 
slrn	slrn is an easy to use but powerful nntp / spool based newsreader. it is highly customizable, supports scoring, free key bindings and can be extended using the s-lang macro language. to use slrn, you either need to set the nntpserver environment variable to the server you want to read news from or specify a server on the command line. a newsrc file is needed, too. in case you do not yet have one, you can create it using ''slrn
slrnpull	slrnpull pulls a small newsfeed from an nntp server. it puts the articles into a spool directory from which slrn can later read them, even if the server is unreachable at that time. typically, this is useful if you do not have a permanent network connection.network connection. 
slsh	slsh is a simple program for interpreting s-lang scripts. it supports dynamic loading of s-lang modules and includes a readline interface for interactive use.interactive use. 
slsnif	slsnif is a serial line sniffer software. it listens to the specified serial port and writes all data coming through it into either stdout (default) or a log file (if specified -- see option -l). slsnif operates either by creating a pseudo tty (pty) and linking it to the serial port, or by linking two serial ports together. in order to set up a debug session one has either to start slsnif on a given port first, note the pty
sm	the inn storage manager is the subsystesm that stores and keeps track of all of the articles and what storage backend they're in. all stored articles are assigned a storage api token. sm is a command-line interface to that storage manager, primarily used to retrieve articles by those tokens but also to perform other operations on the storage subsystem. token is the token of an article (the same thing that's returned by grephistory or stored in the history file). it
smbc	samba commander is a text mode smb network commander. with smbc, you can browse your local network or use the search function to find files in a share. you can also download/upload files and directories or create them both locally and remotely. smbc features the resume capability and utf-8 encoding support.support. 
smbcacls	this tool is part of the samba(7) suite. the smbcacls program manipulates nt access control lists (acls) on smb file shares.the smbcacls program manipulates nt access control lists (acls) on smb file shares. 
smbclient	this tool is part of the samba(7) suite. smbclient is a client that can 'talk' to an smb/cifs server. it offers an interface similar to that of the ftp program (see ftp(1)). operations include things like getting files from the server to the local machine, putting files from the local machine to the server, retrieving directory information from the server and so on.from the server and so on. 
smbcontrol	this tool is part of the samba(7) suite. smbcontrol is a very small program, which sends messages to a smbd(8), a nmbd(8), or a winbindd(8) daemon running on the system.system. 
smbcquotas	this tool is part of the samba(7) suite. the smbcquotas program manipulates nt quotas on smb file shares.the smbcquotas program manipulates nt quotas on smb file shares. 
smbcrc	a file smbcrc incude all parameters for smbc. the value in parameters you can set at two types: username john doe or username "john doe"username "john doe" 
smbencrypt	smbencrypt for each cleartext password passed on the command line emit the lm-password and nt-password hashes for that password.nt-password hashes for that password. 
smbget	this tool is part of the samba(7) suite. smbget is a simple utility with wget-like semantics, that can download files from smb servers. you can specify the files you would like to download on the command-line. the files should be in the smb-url standard, e.g. use smb://host/share/file for the unc path \\\\host\\share\\file.the files should be in the smb-url standard, e.g. use smb://host/share/file for the unc path \\\\host\\share\\file. 
smbstatus	this tool is part of the samba(7) suite. smbstatus is a very simple program to list the current samba connections.smbstatus is a very simple program to list the current samba connections. 
smbtar	this tool is part of the samba(7) suite. smbtar is a very small shell script on top of smbclient(1) which dumps smb shares directly to tape.smbtar is a very small shell script on top of smbclient(1) which dumps smb shares directly to tape. 
smbtorture	smbtorture is a testsuite that runs several tests against a smb server. all tests are known to succeed against a windows 2003 server (?). smbtorture's primary goal is finding differences in implementations of the smb protocol and testing smb servers. any number of tests can be specified on the command-line. if no tests are specified, all tests are run. if no arguments are specified at all, all available options and tests are listed. binding string format the binding string format
smbtree	this tool is part of the samba(7) suite. smbtree is a smb browser program in text mode. it is similar to the "network neighborhood" found on windows computers. it prints a tree with all the known domains, the servers in those domains and the shares on the servers.domains, the servers in those domains and the shares on the servers. 
smicache	the smicache program can be used by libsmi to fetch mib modules that cannot be found in regular local mib directories.local mib directories. 
smidiff	the smidiff program is used to check differences between a pair of smi mib modules or sppi pib modules. e.g., it can be used to detect changes in updated mib modules that can cause interoperability problems with existing implementations. smiv1/v2 and sppi style mib/pib modules are supported. note that conformance statements are currently not checked. messages describing the differences are written to the standard output channel while error and warning messages generated by the parser are written to the standard
smidump	the smidump program is used to dump the contents of a single mib or pib module or a collection of modules to stdout in a selectable output format. this format may be a simple tree of nodes, types or imported modules, but also a format fully compliant to smiv1, smiv2, sppi or sming or corba idl or c source code. smidump can thus be used to convert modules from smiv2 to sming and from sming to smiv2, or to develop
smilint	the smilint program is used to check mib or pib modules for syntax errors and semantics at some degree. smiv1/v2 style mib modules as well as sppi pib modules are supported. the rules that smilint is based on are taken from rfc 1155, rfc 1212 and rfc 1215 for smiv1, rfcs 2578-2580 for smiv2, rfc 3159 for sppi.the rules that smilint is based on are taken from rfc 1155, rfc 1212 and rfc 1215 for smiv1, rfcs 2578-2580 for smiv2,
smime	the smime command handles s/mime mail. it can encrypt, decrypt, sign and verify s/mime messages.the smime command handles s/mime mail. it can encrypt, decrypt, sign and verify s/mime messages. 
smime_keys	the purpose of this tool is to manipulate the internal database of s/mime certificates used by mutt to sign mail messages which will be sent or to verify mail messages received and signed with s/mimesign mail messages which will be sent or to verify mail messages received and signed with s/mime 
smiquery	the smiquery program is used to query information on a single item from an mib module, e.g. module meta information or a single type definition.meta information or a single type definition. 
smistrip	the smistrip program is used to extract mib and pib module files from ascii documents like rfcs or internet drafts. modules are identified by a starting asn.1 definitions clause and the matching end clause. the output is written to files named by the modules' names.by the modules' names. 
smixlate	the smixlate program is used to translate identifiers and especially oids into a more human readable format.the smixlate program is used to translate identifiers and especially oids into a more human readable format. 
smode2	the main purpose of these programs is to check operation of your home-brew lirc receiver hardware and to see the ir waveform of the remote controller without an expensive oscilloscope. very useful for debugging. of course this program won't work with hardware that decodes the signals itself like e.g. tv cards or the irman. smode2 uses the svgalib to show the ir waveform in a graphical representation. the time division is variable from 1 ms/unit to extremely high values (integer
smoltdeleteprofile	smoltdeleteprofile deletes the machine's profile from a remote smoon server. smolt is a cross-desktop hardware reporting tool for gnu/linux based systems.cross-desktop hardware reporting tool for gnu/linux based systems. 
smoltgui	smoltgui is a graphical user interface that can be used to submit smolt hardware profiles to a smoon server. smolt is a cross-desktop hardware reporting tool for gnu/linux based systems.smoon server. smolt is a cross-desktop hardware reporting tool for gnu/linux based systems. 
smoltsendprofile	smoltsendprofile program submits the hardware profile of the current machine to the smoon server. smolt is a cross-desktop hardware reporting tool for gnu/linux based systems.smoon server. smolt is a cross-desktop hardware reporting tool for gnu/linux based systems. 
smplayer	
smproxy	smproxy allows x applications that do not support x11r6 session management to participate in an x11r6 session.in order for smproxy to act as a proxy for an x application, one of the following must be true:- the application maps a top level window containing the wm_client_leader property. this property provides a pointer to the client leader window which contains the wm_class, wm_name, wm_command, and wm_client_machine properties.or ...- the application maps a top level window which does not contain the wm_client_leader
smtp-sink	smtp-sink listens on the named host (or address) and port. it takes smtp messages from the network and throws them away. the purpose is to measure client performance, not protocol compliance. smtp-sink may also be configured to capture each mail delivery transaction to file. since disk latencies are large compared to network delays, this mode of operation can reduce the maximal performance by several orders of magnitude. connections can be accepted on ipv4 or ipv6 endpoints, or on unix-domain sockets.
smtp-source	smtp-source connects to the named host and tcp port (default: port 25) and sends one or more messages to it, either sequentially or in parallel. the program speaks either smtp (default) or lmtp. connections can be made to unix-domain and ipv4 or ipv6 servers. ipv4 and ipv6 are the default. note: this is an unsupported test program. no attempt is made to maintain compatibility between successive versions. arguments:arguments: 
smtptest	smtptest is a utility that allows you to authenticate to a smtp server and interactively issue commands to it. once authenticated you may issue any smtp command by simply typing it in. it is capable of multiple sasl authentication mechanisms and handles encryption layers transparently. this utility is often used for testing the operation of a smtp server. also those developing smtp clients find it useful.useful. 
smyrna	smyrna is a viewer for graphs in the dot format. it is especially designed to handle large graphs, and allows flat and topological fisheye views. it is assumed the input graph has position information associated with all nodes. using the graphviz convention, a node's position is given by its pos attribute consisting of 2 or 3 floating point numbers separated by commas. nodes are drawn as points and edges as line segments. if smyrna detects that the file contains xdot
sn	digitally sign, verify or compare clr assemblies using strongnames. you can use the sn command to create "snk files" using the -k option described below.you can use the sn command to create "snk files" using the -k option described below. 
snake-install	the snake-install command is responsible for grabbing boot images from the supplied uri , modifying the bootloader config, and rebooting into the installer. if you don't have a uri , use the snake-install-tui command. when a kickstart filename is supplied, snake-install will perform a kickstart installation using the specified file. any additional command-line arguments will be ignored. unless the --help or -h option is given, a uri must be present.unless the --help or -h option is given, a uri must
snake-ks	the snake-ks utility is used to query or modify snake kickstart templates. unless specified, snake-ks will operate on a local directory of files (see man snake.conf). command is one of:command is one of: 
snake-tree	the snake-tree utility is used to query or modify snake tree information. unless specified, snake-tree will operate on a local database of trees. command is one of:command is one of: 
sndfile-convert	sndfile-convert converts sound files from one format to another using libsndfile (http://www.mega-nerd.com/libsndfile/) to read and write the data. the format of the output file is determined by the filename extension of the output file. the optional encoding parameter allows setting of the data encoding for the output file. run "sndfile-convert --help" for more information.the optional encoding parameter allows setting of the data encoding for the output file. run "sndfile-convert --help" for more information. 
sndfile-info	sndfile-info will display basic information about a sound file such as its format, its sample rate, and the number of channels. this information is obtained using libsndfile (http://www.mega-nerd.com/libsndfile/).the number of channels. this information is obtained using libsndfile (http://www.mega-nerd.com/libsndfile/). 
sndfile-play	sndfile-play plays the specified sound file using : alsa on linux /dev/dsp on systems supporting oss (including linux) /dev/audio on sun solaris coreaudio on apple macosx waveout on microsoft win32sndfile-play uses libsndfile (http://www.mega-nerd.com/libsndfile/) to read the file.waveout on microsoft win32sndfile-play uses libsndfile (http://www.mega-nerd.com/libsndfile/) to read the file. 
snice	these tools are probably obsolete and unportable. the command syntax is poorly defined. consider using the killall, pkill, and pgrep commands instead. the default signal for skill is term. use -l or -l to list available signals. particularly useful signals include hup, int, kill, stop, cont, and 0. alternate signals may be specified in three ways: -9 -sigkill -kill. the default priority for snice is +4. (snice +4 ...) priority numbers range from +20 (slowest) to -20 (fastest). negative priority
snmp-bridge-mib	the snmp-bridge-mib is an extension to net-snmp. it collects information about a bridge in a linux system and exports them for query from other (remote) systems for management purposes.systems for management purposes. 
snmpbulkget	snmpbulkget is an snmp application that uses the snmp getbulk request to query a network entity efficiently for information. one or more object identifiers (oids) may be given as arguments on the command line. each variable name is given in the format specified in variables(5). if the network entity has an error processing the request packet, an error packet will be returned and a message will be shown, helping to pinpoint why the request was malformed.request was malformed. 
snmpbulkwalk	snmpbulkwalk is an snmp application that uses snmp getbulk requests to query a network entity efficiently for a tree of information. an object identifier (oid) may be given on the command line. this oid specifies which portion of the object identifier space will be searched using getbulk requests. all variables in the subtree below the given oid are queried and their values presented to the user. each variable name is given in the format specified in variables(5). if no oid
snmpc	the snmpc program provides a way to run the snmp mib compiler of the erlang system.the snmpc program provides a way to run the snmp mib compiler of the erlang system. 
snmpcheck	like to snmpwalk, snmpcheck permits to enumerate information via snmp protocol. it allows enumeration (hardware, software, network) of any devices with snmp protocol support. it could be useful for penetration testing or systems monitoring. snmpcheck supports the following enumerations (in alfabetic order):snmpcheck supports the following enumerations (in alfabetic order): 
